algo,params,k,n_clusters,silhouette,calinski,davies,dunn,estabilidade,tempo,aic,bic,ll_mean,sizes,error,score_composite,acuracia,margem_erro
kmeans,{'k': 4},4,4.0,0.2801455689908449,211050.0416177286,1.0996942613602645,0.02163850004324462,,1.3321572999993805,,,,"{0: 178115, 1: 30902, 2: 67028, 3: 135808}",,0.5411253841526455,0.45916382787062376,0.0015219473951150631
kmeans,{'k': 5},5,5.0,0.23291069313041327,193153.8686434848,1.2082834313622883,0.051335951624411805,,1.9400370000003022,,,,"{0: 121842, 1: 119509, 2: 92288, 3: 49564, 4: 28650}",,0.6667526785469972,0.3299429650870578,0.0014360134777876845
kmeans,{'k': 6},6,6.0,0.23689930315320407,175630.63431859322,1.2197107978178903,0.046486342912237126,,2.0690029000033974,,,,"{0: 121387, 1: 120147, 2: 17752, 3: 87475, 4: 22425, 5: 42667}",,0.5550537412261369,0.32982641864937245,0.0014358846928223229
kmeans,{'k': 7},7,7.0,0.23287401714887696,165474.56456329013,1.2037411421035138,0.04006105223180202,,2.74899860000005,,,,"{0: 70903, 1: 36468, 2: 96841, 3: 19444, 4: 17228, 5: 94477, 6: 76492}",,0.4125149200784266,0.2772566911009511,0.0013671510120278315
minibatchkmeans,{'k': 4},4,4.0,0.277072911494775,210612.3338493858,1.1049733989341717,0.050239132091416165,,0.178944400002365,,,,"{0: 126641, 1: 179738, 2: 75629, 3: 29845}",,0.9189958195296657,0.462737918626306,0.001522802495460166
minibatchkmeans,{'k': 5},5,5.0,0.2540113719067831,182990.20795010385,1.242845168470875,0.034510121509402046,,0.15853419999984908,,,,"{0: 61376, 1: 134214, 2: 62907, 3: 23834, 4: 129522}",,0.549625689358416,0.3734439229530925,0.001477323952327484
minibatchkmeans,{'k': 6},6,6.0,0.23048610859131213,172825.5922469287,1.2502839635142662,0.014707627440576833,,0.16625130000102217,,,,"{0: 55963, 1: 104438, 2: 52334, 3: 22826, 4: 117477, 5: 58815}",,0.21866221369560976,0.30749320752792864,0.0014093311906532879
minibatchkmeans,{'k': 7},7,7.0,0.21328381140161037,158544.41094361647,1.2921905272764274,0.034281705938667334,,0.1603663999994751,,,,"{0: 54711, 1: 102708, 2: 23058, 3: 22893, 4: 94415, 5: 50664, 6: 63404}",,0.35301775519134176,0.2834360803490566,0.0013763802489805018
gmm,{'k': 4},4,4.0,0.06659496814333214,59924.03567631148,2.062286439247192,0.03396046135729464,,8.505584599999565,7163027.74069244,7163585.090202636,-8.695973734187247,"{0: 85862, 1: 120200, 2: 133199, 3: 72592}",,-0.9443581881835795,0.357154130235788,0.0014634044670382928
gmm,{'k': 5},5,5.0,0.053673549332271545,57720.29674705168,2.1713239704185585,0.018226651913894575,,4.6663911000032385,7062606.263343217,7063305.682336404,-8.574027946067185,"{0: 136624, 1: 100190, 2: 75246, 3: 63699, 4: 36094}",,-0.9944154074003428,0.3684397102849803,0.0014732406834776397
gmm,{'k': 6},6,6.0,0.01869218079663172,50442.08383468553,2.6055127158640303,0.01848555164070662,,4.537683099999413,6961718.454723282,6962559.94319946,-8.451516019943137,"{0: 80758, 1: 97911, 2: 90790, 3: 36209, 4: 33244, 5: 72941}",,-1.1593283737107525,0.2883844478491112,0.0013835409067770904
gmm,{'k': 7},7,7.0,0.023642365752082013,48736.03089352709,2.6655443653431012,0.021345751142176014,,4.818496399999276,6908400.34070538,6909383.898664549,-8.386754910982049,"{0: 69055, 1: 81253, 2: 92300, 3: 41790, 4: 33485, 5: 62534, 6: 31436}",,-1.1176462324845668,0.25293247833571686,0.0013275956205440684
kmedoids,{'k': 4},4,,,,,,,,,,,{},"Unable to allocate 1.23 TiB for an array with shape (411853, 411853) and data type float64",0.0,,
kmedoids,{'k': 5},5,,,,,,,,,,,{},"Unable to allocate 1.23 TiB for an array with shape (411853, 411853) and data type float64",0.0,,
kmedoids,{'k': 6},6,,,,,,,,,,,{},"Unable to allocate 1.23 TiB for an array with shape (411853, 411853) and data type float64",0.0,,
kmedoids,{'k': 7},7,,,,,,,,,,,{},"Unable to allocate 1.23 TiB for an array with shape (411853, 411853) and data type float64",0.0,,
